id,pop
1000000US170310202002001,108
1000000US170310202002002,85
1000000US170310202002003,16
1000000US170310202002004,16
1000000US170310202002005,28
1000000US170310202002006,18
1000000US170310202002007,525
1000000US170310202002008,46
1000000US170310202002009,104
1000000US170310202002010,90
1000000US170310202002011,47
1000000US170310202002012,33
1000000US170310202002013,160
1000000US170310202002014,66
1000000US170310202003000,55
1000000US170310202003001,61
1000000US170310202003002,66
1000000US170310202003003,53
1000000US170310202003004,52
1000000US170310202003005,66
1000000US170310202003006,50
1000000US170310202003007,74
1000000US170310202003008,54
1000000US170310202003009,53
1000000US170310202003010,25
1000000US170310202003011,26
1000000US170310202003012,33
1000000US170310202003013,55
1000000US170310202003014,40
1000000US170310202003015,41
1000000US170310202003016,64
1000000US170310202003017,30
1000000US170310202003018,35
1000000US170310202003019,43
1000000US170310202003020,45
1000000US170310202003021,31
1000000US170310202003022,23
1000000US170310202003023,52
1000000US170310202003024,76
1000000US170310202003025,27
1000000US170310202003026,29
1000000US170310202003027,17
1000000US170310202003028,31
1000000US170310202003029,25
1000000US170310202003030,43
1000000US170310202003031,61
1000000US170310202003032,45
1000000US170310202003033,8
1000000US170310202003034,15
1000000US170310202003035,34
1000000US170310202003036,45
1000000US170310202003037,47
1000000US170310202003038,29
1000000US170310202003039,19
1000000US170310202004000,109
1000000US170310202004001,246
1000000US170310202004002,72
1000000US170310202004003,80
1000000US170310202004004,22
1000000US170310202004005,13
1000000US170310202004006,52
1000000US170310202004007,0
1000000US170310202004008,41
1000000US170310202004009,34
1000000US170310202004010,47
1000000US170310202004011,31
1000000US170310202004012,32
1000000US170310202004013,30
1000000US170310202004014,21
1000000US170310202004015,39
1000000US170310202004016,32
1000000US170310202004017,145
1000000US170310202004018,23
1000000US170310202004019,23
1000000US170310202004020,17
1000000US170310202004021,82
1000000US170310202004022,90
1000000US170310202004023,0
1000000US170310202004024,16
1000000US170310202004025,16
1000000US170310202004026,17
1000000US170310202004027,25
1000000US170310202004028,27
1000000US170310202004029,24
1000000US170310202004030,28
1000000US170310202004031,23
1000000US170310202004032,18
1000000US170310202004033,52
1000000US170310202004034,18
1000000US170310202004035,20
1000000US170310202004036,28
1000000US170310202004037,28
1000000US170310202004038,28
1000000US170310202004039,31
1000000US170310202004040,30
1000000US170310202004041,42
1000000US170310202004042,38
1000000US170310202004043,22
1000000US170310202004044,53
1000000US170310202004045,36
1000000US170310202004046,26
1000000US170310203011000,0
1000000US170310203011001,125
1000000US170310203011002,319
1000000US170310203011003,360
1000000US170310203011004,0
1000000US170310203011005,0
1000000US170310203011006,405
1000000US170310203011007,0
1000000US170310203011008,349
1000000US170310203012000,259
1000000US170310203012001,356
1000000US170310203012002,121
1000000US170310203012003,91
1000000US170310203012004,34
1000000US170310203012005,51
1000000US170310203012006,55
1000000US170310203012007,56
1000000US170310203012008,71
1000000US170310203012009,65
1000000US170310203012010,90
1000000US170310203012011,101
1000000US170310203013000,6
1000000US170310203013001,0
1000000US170310203013002,2
1000000US170310203013003,70
1000000US170310203013004,55
1000000US170310203013005,63
1000000US170310203013006,75
1000000US170310203013007,49
1000000US170310203013008,58
1000000US170310203013009,49
1000000US170310203013010,62
1000000US170310203013011,62
1000000US170310203013012,55
1000000US170310203013013,53
1000000US170310203013014,56
1000000US170310203013015,55
1000000US170310203013016,109
1000000US170310203013017,124
1000000US170310203013018,46
1000000US170310203013019,81
1000000US170310203013020,62
1000000US170310203013021,63
1000000US170310203013022,51
1000000US170310203013023,40
1000000US170310203013024,58
1000000US170310203013025,245
1000000US170310203013026,127
1000000US170310203013027,66
1000000US170310203021000,104
1000000US170310203021001,20
1000000US170310203021002,73
1000000US170310203021003,169
1000000US170310203021004,171
1000000US170310203021005,39
1000000US170310203021006,77
1000000US170310203021007,93
1000000US170310203021008,116
1000000US170310203021009,96
1000000US170310203021010,88
1000000US170310203021011,156
1000000US170310203021012,132
1000000US170310203022000,91
1000000US170310203022001,95
1000000US170310203022002,92
1000000US170310203022003,78
1000000US170310203022004,111
1000000US170310203022005,58
1000000US170310203022006,64
1000000US170310203022007,51
1000000US170310203022008,38
1000000US170310203022009,52
1000000US170310203022010,36
1000000US170310203022011,49
1000000US170310203022012,41
1000000US170310203022013,42
1000000US170310203022014,98
1000000US170310203023000,370
1000000US170310203023001,0
1000000US170310203023002,60
1000000US170310203023003,73
1000000US170310203023004,348
1000000US170310203023005,131
1000000US170310203023006,146
1000000US170310203023007,0
1000000US170310203023008,21
1000000US170310203023009,68
1000000US170310203023010,12
1000000US170310203023011,62
1000000US170310203023012,132
1000000US170310203023013,0
1000000US170310203023014,46
1000000US170310203023015,37
1000000US170310203023016,26
1000000US170310203023017,94
1000000US170310203023018,45
1000000US170310203023019,41
1000000US170310203023020,39
1000000US170310203023021,30
1000000US170310203023022,11
1000000US170310203023023,0
1000000US170310203023024,33
1000000US170310203023025,39
1000000US170310203023026,31
1000000US170310203023027,49
1000000US170310203023028,43
1000000US170310203023029,43
1000000US170310203023030,33
1000000US170310203023031,55
1000000US170310203023032,37
1000000US170310203023033,81
1000000US170310203023034,65
1000000US170310203023035,19
1000000US170310203023036,0
1000000US170310204001000,13
1000000US170310204001001,85
1000000US170310204001002,150
1000000US170310204001003,132
1000000US170310204001004,67
1000000US170310204001005,31
1000000US170310204001006,61
1000000US170310204001007,40
1000000US170310204001008,43
1000000US170310204001009,34
1000000US170310204001010,42
1000000US170310204001011,40
1000000US170310204001012,37
1000000US170310204001013,6
1000000US170310204002000,103
1000000US170310204002001,10
1000000US170310204002002,28
1000000US170310204002003,28
1000000US170310204002004,66
1000000US170310204002005,55
1000000US170310204002006,37
1000000US170310204002007,29
1000000US170310204002008,45
1000000US170310204002009,33
1000000US170310204002010,105
1000000US170310204002011,54
1000000US170310204002012,74
1000000US170310204002013,51
1000000US170310204002014,89
1000000US170310204002015,39
1000000US170310204002016,41
1000000US170310204002017,16
1000000US170310204002018,196
1000000US170310204002019,81
1000000US170310204002020,44
1000000US170310204002021,154
1000000US170310204002022,102
1000000US170310204003000,127
1000000US170310204003001,330
1000000US170310204003002,43
1000000US170310204003003,154
1000000US170310204003004,65
1000000US170310204003005,9
1000000US170310204003006,61
1000000US170310204003007,170
1000000US170310204003008,93
1000000US170310204003009,119
1000000US170310204003010,158
1000000US170310204003011,212
1000000US170310204003012,89
1000000US170310204003013,134
1000000US170310204003014,85
1000000US170310204003015,28
1000000US170310204003016,30
1000000US170310205001000,762
1000000US170310205001001,275
1000000US170310205001002,92
1000000US170310205001003,138
1000000US170310205001004,120
1000000US170310205001005,120
1000000US170310205001006,46
1000000US170310205001007,155
1000000US170310205001008,0
1000000US170310205001009,109
1000000US170310205001010,102
1000000US170310205001011,48
1000000US170310205001012,195
1000000US170310205001013,85
1000000US170310205001014,51
1000000US170310205001015,67
1000000US170310205001016,147
1000000US170310205002000,71
1000000US170310205002001,57
1000000US170310205002002,70
1000000US170310205002003,159
1000000US170310205002004,0
1000000US170310205002005,30
1000000US170310205002006,38
1000000US170310205002007,104
1000000US170310205002008,133
1000000US170310205002009,96
1000000US170310205002010,39
1000000US170310205002011,112
1000000US170310205003000,0
1000000US170310205003001,328
1000000US170310205003002,237
1000000US170310205003003,92
1000000US170310205003004,228
1000000US170310205003005,203
1000000US170310205003006,397
1000000US170310205003007,154
1000000US170310205003008,103
1000000US170310205004000,164
1000000US170310205004001,102
1000000US170310205004002,117
1000000US170310205004003,79
1000000US170310205004004,54
1000000US170310205004005,103
1000000US170310205004006,70
1000000US170310205004007,114
1000000US170310205004008,123
1000000US170310205004009,47
1000000US170310205004010,78
1000000US170310206011000,0
1000000US170310206011001,32
1000000US170310206011002,28
1000000US170310206011003,17
1000000US170310206011004,34
1000000US170310206011005,27
1000000US170310206011006,18
1000000US170310206011007,114
1000000US170310206011008,164
1000000US170310206011009,213
1000000US170310206011010,29
1000000US170310206011011,79
1000000US170310206011012,62
1000000US170310206011013,90
1000000US170310206011014,51
1000000US170310206011015,37
1000000US170310206011016,36
1000000US170310206011017,27
1000000US170310206011018,46
1000000US170310206011019,48
1000000US170310206011020,60
1000000US170310206011021,70
1000000US170310206011022,72
1000000US170310206011023,69
1000000US170310206011024,42
1000000US170310206011025,63
1000000US170310206011026,70
1000000US170310206011027,50
1000000US170310206011028,91
1000000US170310206011029,87
1000000US170310206012000,186
1000000US170310206012001,208
1000000US170310206012002,174
1000000US170310206012003,229
1000000US170310206012004,165
1000000US170310206012005,166
1000000US170310206012006,126
1000000US170310206012007,75
1000000US170310206012008,69
1000000US170310206012009,95
1000000US170310206012010,147
1000000US170310206012011,155
1000000US170310206012012,166
1000000US170310206012013,139
1000000US170310206012014,157
1000000US170310206012015,132
1000000US170310206012016,44
1000000US170310206012017,8
1000000US170310206012018,85
1000000US170310206012019,39
1000000US170310206012020,36
1000000US170310206012021,122
1000000US170310206012022,143
1000000US170310206012023,56
1000000US170310206012024,29
1000000US170310206012025,57
1000000US170310206013000,218
1000000US170310206013001,146
1000000US170310206013002,124
1000000US170310206013003,143
1000000US170310206013004,67
1000000US170310206013005,206
1000000US170310206013006,48
1000000US170310206013007,0
1000000US170310206013008,127
1000000US170310206013009,109
1000000US170310206013010,59
1000000US170310206013011,207
1000000US170310206013012,11
1000000US170310206013013,54
1000000US170310206013014,0
1000000US170310206021000,0
1000000US170310206021001,173
1000000US170310206021002,115
1000000US170310206021003,92
1000000US170310206021004,109
1000000US170310206021005,123
1000000US170310206021006,118
1000000US170310206021007,123
1000000US170310206021008,113
1000000US170310206021009,109
1000000US170310206021010,99
1000000US170310206021011,0
1000000US170310206022000,0
1000000US170310206022001,133
1000000US170310206022002,53
1000000US170310206022003,114
1000000US170310206022004,73
1000000US170310206022005,48
1000000US170310206022006,139
1000000US170310206022007,72
1000000US170310206022008,112
1000000US170310206022009,101
1000000US170310206022010,162
1000000US170310206022011,3
1000000US170310206022012,86
1000000US170310206022013,0
1000000US170310206022014,25
1000000US170310206023000,47
1000000US170310206023001,53
1000000US170310206023002,77
1000000US170310206023003,45
1000000US170310206023004,46
1000000US170310206023005,126
1000000US170310206023006,162
1000000US170310206023007,108
1000000US170310206023008,52
1000000US170310206023009,118
1000000US170310206023010,68
1000000US170310206023011,103
1000000US170310206023012,11
1000000US170310206023013,47
