CENSUS BLOCK,Pop
0206012009,95
0206012010,147
0206012011,155
0206012012,166
0206012013,139
0206012014,157
0206012015,132
0206012016,44
0206012017,8
0206012018,85
0206012019,39
0206012020,36
0206012021,122
0206012022,143
0206012023,56
0206012024,29
0206012025,57
0206013000,218
0206013001,146
0206013002,124
0206013003,143
0206013004,67
0206013005,206
0206013006,48
0206013007,0
0206013008,127
0206013009,109
0206013010,59
0206013011,207
0206013012,11
0206013013,54
0206013014,0
0206021000,0
0206021001,173
0206021002,115
0206021003,92
0206021004,109
0206021005,123
0206021006,118
0206021007,123
0206021008,113
0206021009,109
0206021010,99
0206021011,0
0206022000,0
0206022001,133
0206022002,53
0206022003,114
0206022004,73
0206022005,48
0206022006,139
0206022007,72
0206022008,112
0206022009,101
0206022010,162
0206022011,3
0206022012,86
0206022013,0
0206022014,25
0206023000,47
0206023001,53
0206023002,77
0206023003,45
0206023004,46
0206023005,126
0206023006,162
0206023007,108
0206023008,52
0206023009,118
0206023010,68
0206023011,103
0206023012,11
0206023013,47
0206023014,33
0206024000,41
0206024001,51
0206024002,37
0206024003,22
0206024004,41
0206024005,96
0206024006,132
0206024007,111
0206024008,113
0206024009,56
0206024010,80
0206024011,43
0206024012,78
0206024013,48
0207011000,0
0207011001,2
0207011002,12
0207011003,0
0207011004,142
0207011005,68
0207011006,11
0207011007,14
0207011008,51
0207011009,6
0207011010,56
0207011011,0
0207011012,43
0207011013,21
0207011014,26
0207011015,64
0207011016,39
0207011017,20
0207011018,0
0207011019,0
0207011020,0
0207011021,0
0207011022,38
0207011023,4
0207011024,32
0207011025,14
0207011026,41
0207011027,30
0207011028,20
0207011029,8
0207011030,17
0207011031,19
0207011032,24
0207011033,0
0207012000,5
0207012001,39
0207012002,104
0207012003,79
0207012004,46
0207012005,41
0207012006,73
0207012007,69
0207012008,52
0207012009,0
0207012010,69
0207012011,21
0207012012,23
0207012013,10
0207012014,94
0207012015,50
0207012016,30
0207012017,21
0207012018,12
0207012019,44
0207021002,23
0207021003,109
0207021004,0
0207021005,185
0207021006,78
0207021007,35
0207021008,0
0207021009,42
0207021010,20
0207021011,171
0207021012,126
0207021013,161
0207021014,58
0207021015,132
0207021016,131
0207021017,128
0207021018,43
0207021019,46
0207021020,67
0207021021,71
0207021022,57
0207021023,135
0207021024,0
0207022000,0
0207022001,0
0207022002,46
0207022003,12
0207022004,137
0207022005,139
0207022006,26
0207022007,192
0207022008,324
0207022009,183
0207022010,201
0207022011,148
0207022012,73
0207022013,179
0207022014,146
0207022015,95
0207022016,185
0207022017,80
0207022018,175
0207022019,267
0207023000,149
0207023001,156
0207023002,169
0207023003,124
0207023004,159
0207023005,181
0207023006,94
0207023007,83
0207023008,43
0207023009,45
0207023010,74
0207023011,108
0207023012,165
0207023013,125
0207023014,70
0207023015,0
0207023016,0
0207024000,106
0207024001,43
0207024002,63
0207024003,124
0207024004,47
0207024005,46
0207024006,61
0207024007,66
0207024008,120
0207024009,119
0207024010,68
0207024011,69
0207024012,91
0207024013,0
0207024014,0
0207024015,0
0207024016,0
0208011000,17
0208011001,160
0208011002,151
0208011003,111
0208011004,116
0208011005,111
0208011006,138
0208011007,80
0208011008,57
0208011009,73
0208011010,58
0208011011,90
0208011012,103
0208011013,84
0208011014,127
0208011015,24
0208011016,37
0208011017,11
0208011018,0
0208011019,97
0208012000,15
0208012001,16
0208012002,14
0208012003,0
0208012004,41
0208012005,55
0208012006,105
0208012007,57
0208012008,55
0208012009,44
0208012010,79
0208012011,58
0208012012,68
0208012013,49
0208012014,45
0208012015,55
0208012016,67
0208012017,69
0208012018,51
0208012019,109
0208013000,124
0208013001,112
0208013002,94
0208013003,148
0208013004,89
0208013005,105
0208013006,48
0208013007,46
0208013008,104
0208013009,45
0208013010,61
0208013011,0
0208013012,58
0208013013,7
0208013014,0
0208013015,1
0208013016,28
0208013017,20
0208013018,2
0208013019,78
0208014000,0
0208014001,0
0208014002,35
0208014003,0
0208014004,0
0208014005,86
0208014006,95
0208014007,91
0208014008,92
0208014009,59
0208014010,97
0208014011,135
0208014012,85
0208014013,120
0208014014,102
0208014015,120
0208014016,155
0208014017,142
0208014018,161
0208014019,16
0208021000,0
0208021001,105
0208021002,135
0208021003,127
0208021004,137
0208021005,48
0208021006,43
0208021007,56
0208021008,62
0208021009,59
0208021010,48
0208021011,34
0208021012,54
0208021013,60
0208021014,51
0208021015,0
0208021016,0
0208021017,23
0208021018,0
0208021019,0
0208022000,175
0208022001,143
0208022002,205
0208022003,174
0208022004,165
0208022005,178
0208022006,0
0208022007,0
