ID,stateID,countyID,tractID,pop,crimes_2001_to_present,311_service_requests_vacant_and_abandoned_building
170314603,17,031,4603,7207,0,0
170314604,17,031,4604,3705,0,0
170314605,17,031,4605,5706,0,0
170314606,17,031,4606,1183,0,0
170314607,17,031,4607,3314,0,0
170314610,17,031,4610,1496,0,0
170314701,17,031,4701,2916,0,0
170314801,17,031,4801,2033,0,0
170314802,17,031,4802,1229,0,0
170314803,17,031,4803,1468,0,0
170314804,17,031,4804,5876,0,0
170314805,17,031,4805,3206,0,0
170314903,17,031,4903,2033,0,0
170314904,17,031,4904,1059,0,0
170314905,17,031,4905,2242,0,0
170314906,17,031,4906,1562,0,0
170314907,17,031,4907,3085,0,0
170314908,17,031,4908,4007,0,0
170314909,17,031,4909,8977,0,0
170314910,17,031,4910,5247,0,0
170314911,17,031,4911,4514,0,0
170314912,17,031,4912,2444,0,0
170314913,17,031,4913,2886,0,0
170314914,17,031,4914,2931,0,0
170315001,17,031,5001,2827,0,0
170315002,17,031,5002,2015,0,0
170315003,17,031,5003,1666,0,0
170315101,17,031,5101,3530,0,0
170315102,17,031,5102,2986,0,0
170315103,17,031,5103,5360,0,0
170315201,17,031,5201,2075,0,0
170315202,17,031,5202,3817,0,0
170315203,17,031,5203,6215,0,0
170315204,17,031,5204,3931,0,0
170315205,17,031,5205,4301,0,0
170315206,17,031,5206,2544,0,0
170315301,17,031,5301,2371,0,0
170315302,17,031,5302,5152,0,0
170315303,17,031,5303,4273,0,0
170315304,17,031,5304,2223,0,0
170315305,17,031,5305,12414,0,0
170315306,17,031,5306,3207,0,0
170315401,17,031,5401,6482,0,0
170315501,17,031,5501,6628,0,0
170315502,17,031,5502,2798,0,0
170315601,17,031,5601,1473,0,0
170315602,17,031,5602,1721,0,0
170315603,17,031,5603,3187,0,0
170315604,17,031,5604,1516,0,0
170315607,17,031,5607,3484,0,0
170315608,17,031,5608,5411,0,0
170315609,17,031,5609,5093,0,0
170315610,17,031,5610,5161,0,0
170315611,17,031,5611,5407,0,0
170315701,17,031,5701,1257,0,0
170315702,17,031,5702,1943,0,0
170315703,17,031,5703,6116,0,0
170315704,17,031,5704,1615,0,0
170315705,17,031,5705,2462,0,0
170315801,17,031,5801,2989,0,0
170315802,17,031,5802,3515,0,0
170315803,17,031,5803,2426,0,0
170315804,17,031,5804,4795,0,0
170315805,17,031,5805,10416,0,0
170315806,17,031,5806,5531,0,0
170315807,17,031,5807,6137,0,0
170315808,17,031,5808,2061,0,0
170315905,17,031,5905,1672,0,0
170315906,17,031,5906,3564,0,0
170315907,17,031,5907,3100,0,0
170316004,17,031,6004,3891,0,0
170316006,17,031,6006,2738,0,0
170316007,17,031,6007,2545,0,0
170316009,17,031,6009,3699,0,0
170316103,17,031,6103,5658,0,0
170316104,17,031,6104,2213,0,0
170316108,17,031,6108,1393,0,0
170316110,17,031,6110,1098,0,0
170316111,17,031,6111,2922,0,0
170316112,17,031,6112,2824,0,0
170316113,17,031,6113,3556,0,0
170316114,17,031,6114,4105,0,0
170316115,17,031,6115,3567,0,0
170316116,17,031,6116,1609,0,0
170316117,17,031,6117,1990,0,0
170316118,17,031,6118,2139,0,0
170316119,17,031,6119,2045,0,0
170316120,17,031,6120,1545,0,0
170316121,17,031,6121,1470,0,0
170316201,17,031,6201,4289,0,0
170316202,17,031,6202,2223,0,0
170316203,17,031,6203,6399,0,0
170316204,17,031,6204,5198,0,0
170316301,17,031,6301,1156,0,0
170316302,17,031,6302,1931,0,0
170316303,17,031,6303,5521,0,0
170316304,17,031,6304,7083,0,0
170316305,17,031,6305,6364,0,0
170316308,17,031,6308,7107,0,0
170316309,17,031,6309,5363,0,0
170316401,17,031,6401,1211,0,0
170316403,17,031,6403,6463,0,0
170316404,17,031,6404,3190,0,0
170316405,17,031,6405,3491,0,0
170316406,17,031,6406,3912,0,0
170316407,17,031,6407,3156,0,0
170316408,17,031,6408,1716,0,0
170316501,17,031,6501,4816,0,0
170316502,17,031,6502,7320,0,0
170316503,17,031,6503,10055,0,0
170316504,17,031,6504,6743,0,0
170316505,17,031,6505,4421,0,0
170316603,17,031,6603,7312,0,0
170316604,17,031,6604,5960,0,0
170316605,17,031,6605,5534,0,0
170316606,17,031,6606,6333,0,0
170316607,17,031,6607,2366,0,0
170316608,17,031,6608,5865,0,0
170316609,17,031,6609,4232,0,0
170316610,17,031,6610,5706,0,0
170316611,17,031,6611,6542,0,0
170316701,17,031,6701,1516,0,0
170316702,17,031,6702,1380,0,0
170316703,17,031,6703,1411,0,0
170316704,17,031,6704,1956,0,0
170316705,17,031,6705,1321,0,0
170316706,17,031,6706,1650,0,0
170316707,17,031,6707,1491,0,0
170316708,17,031,6708,1635,0,0
170316709,17,031,6709,1351,0,0
170316711,17,031,6711,1259,0,0
170316712,17,031,6712,1252,0,0
170316713,17,031,6713,2688,0,0
170316714,17,031,6714,2072,0,0
170316715,17,031,6715,3221,0,0
170316716,17,031,6716,2495,0,0
170316718,17,031,6718,1422,0,0
170316719,17,031,6719,1378,0,0
170316720,17,031,6720,3735,0,0
170316805,17,031,6805,1481,0,0
170316806,17,031,6806,1431,0,0
170316809,17,031,6809,4019,0,0
170316810,17,031,6810,3498,0,0
170316811,17,031,6811,3517,0,0
170316812,17,031,6812,2716,0,0
170316813,17,031,6813,2936,0,0
170316814,17,031,6814,3247,0,0
170316903,17,031,6903,2191,0,0
170316904,17,031,6904,3464,0,0
170316905,17,031,6905,877,0,0
170316909,17,031,6909,4520,0,0
170316910,17,031,6910,2492,0,0
170316911,17,031,6911,3186,0,0
170316912,17,031,6912,2847,0,0
170316913,17,031,6913,2448,0,0
170316914,17,031,6914,3611,0,0
170316915,17,031,6915,1930,0,0
170317001,17,031,7001,3427,0,0
170317002,17,031,7002,6609,0,0
170317003,17,031,7003,11047,0,0
170317004,17,031,7004,9837,0,0
170317005,17,031,7005,10161,0,0
170317101,17,031,7101,1275,0,0
170317102,17,031,7102,5049,0,0
170317103,17,031,7103,1414,0,0
170317104,17,031,7104,5651,0,0
170317105,17,031,7105,4123,0,0
170317106,17,031,7106,1838,0,0
170317107,17,031,7107,3583,0,0
170317108,17,031,7108,5338,0,0
170317109,17,031,7109,2198,0,0
170317110,17,031,7110,3475,0,0
170317111,17,031,7111,2835,0,0
170317112,17,031,7112,5145,0,0
170317113,17,031,7113,1626,0,0
170317114,17,031,7114,2654,0,0
170317115,17,031,7115,2539,0,0
170317201,17,031,7201,3300,0,0
170317202,17,031,7202,4016,0,0
170317203,17,031,7203,3723,0,0
170317204,17,031,7204,1924,0,0
170317205,17,031,7205,2117,0,0
170317206,17,031,7206,1756,0,0
170317207,17,031,7207,3149,0,0
170317301,17,031,7301,2424,0,0
170317302,17,031,7302,9056,0,0
170317303,17,031,7303,1166,0,0
170317304,17,031,7304,3514,0,0
170317305,17,031,7305,4388,0,0
170317306,17,031,7306,3614,0,0
170317307,17,031,7307,2331,0,0
170317401,17,031,7401,3048,0,0
170317402,17,031,7402,6547,0,0
170317403,17,031,7403,4713,0,0
170317404,17,031,7404,4175,0,0
170317501,17,031,7501,4147,0,0
170317502,17,031,7502,3227,0,0
170317503,17,031,7503,2530,0,0
170317504,17,031,7504,3009,0,0
170317505,17,031,7505,5936,0,0
170317506,17,031,7506,3681,0,0
170317608,17,031,7608,12559,0,0
170317705,17,031,7705,0,0,0
170317706,17,031,7706,1,0,0
170317707,17,031,7707,0,0,0
170317708,17,031,7708,0,0,0
170317709,17,031,7709,196,0,0
170318056,17,031,8056,0,0,0
170318079,17,031,8079,0,0,0
170318081,17,031,8081,0,0,0
170318104,17,031,8104,281,0,0
170318214,17,031,8214,11,0,0
170318233,17,031,8233,14,0,0
170318305,17,031,8305,4375,0,0
170318306,17,031,8306,5005,0,0
170318307,17,031,8307,4162,0,0
170318308,17,031,8308,2391,0,0
170318309,17,031,8309,2877,0,0
170318310,17,031,8310,2138,0,0
170318311,17,031,8311,7453,0,0
170318312,17,031,8312,5021,0,0
170318313,17,031,8313,1280,0,0
170318314,17,031,8314,2964,0,0
170318315,17,031,8315,4079,0,0
170318316,17,031,8316,7270,0,0
170318317,17,031,8317,2075,0,0
170318318,17,031,8318,6322,0,0
170318319,17,031,8319,2717,0,0
170318320,17,031,8320,1798,0,0
170318321,17,031,8321,3297,0,0
170318322,17,031,8322,2940,0,0
170318323,17,031,8323,1673,0,0
170318324,17,031,8324,3181,0,0
170318325,17,031,8325,3606,0,0
170318326,17,031,8326,3727,0,0
170318329,17,031,8329,2123,0,0
170318330,17,031,8330,2768,0,0
170318331,17,031,8331,6895,0,0
170318333,17,031,8333,2278,0,0
170318339,17,031,8339,2714,0,0
170318340,17,031,8340,3632,0,0
170318342,17,031,8342,4944,0,0
170318343,17,031,8343,6372,0,0
170318344,17,031,8344,3772,0,0
170318345,17,031,8345,1475,0,0
170318346,17,031,8346,3778,0,0
170318347,17,031,8347,2078,0,0
170318348,17,031,8348,1953,0,0
170318349,17,031,8349,2272,0,0
170318350,17,031,8350,5778,0,0
170318351,17,031,8351,5369,0,0
170318352,17,031,8352,2060,0,0
170318355,17,031,8355,1677,0,0
170318356,17,031,8356,1199,0,0
170318357,17,031,8357,0,0,0
170318358,17,031,8358,1576,0,0
170318359,17,031,8359,3271,0,0
170318360,17,031,8360,2177,0,0
170318361,17,031,8361,1761,0,0
170318362,17,031,8362,1529,0,0
170318363,17,031,8363,1288,0,0
170318364,17,031,8364,2968,0,0
170318365,17,031,8365,1496,0,0
170318366,17,031,8366,2997,0,0
170318367,17,031,8367,2397,0,0
170318368,17,031,8368,2661,0,0
170318369,17,031,8369,1442,0,0
170318370,17,031,8370,2085,0,0
170318371,17,031,8371,1819,0,0
170318373,17,031,8373,2483,0,0
170318374,17,031,8374,2279,0,0
170318378,17,031,8378,2796,0,0
170318380,17,031,8380,2561,0,0
170318381,17,031,8381,1713,0,0
170318382,17,031,8382,1023,0,0
170318383,17,031,8383,1631,0,0
170318386,17,031,8386,1598,0,0
170318387,17,031,8387,4484,0,0
170318388,17,031,8388,3233,0,0
170318390,17,031,8390,7311,0,0
170318391,17,031,8391,4350,0,0
170318392,17,031,8392,2545,0,0
170318395,17,031,8395,1545,0,0
170318396,17,031,8396,1952,0,0
170318397,17,031,8397,4326,0,0
170318398,17,031,8398,2730,0,0
170318399,17,031,8399,4033,0,0
170318400,17,031,8400,2695,0,0
170318401,17,031,8401,2935,0,0
170318402,17,031,8402,2210,0,0
170318403,17,031,8403,3950,0,0
170318404,17,031,8404,3326,0,0
170318407,17,031,8407,4249,0,0
170318408,17,031,8408,3716,0,0
170318410,17,031,8410,849,0,0
170318411,17,031,8411,7111,0,0
170318412,17,031,8412,5262,0,0
170318413,17,031,8413,4463,0,0
170318414,17,031,8414,1559,0,0
170318415,17,031,8415,2962,0,0
170318416,17,031,8416,1166,0,0
170318417,17,031,8417,1442,0,0
170318418,17,031,8418,2420,0,0
170318419,17,031,8419,4865,0,0
170318420,17,031,8420,2744,0,0
170318421,17,031,8421,6731,0,0
170318422,17,031,8422,2435,0,0
170318423,17,031,8423,3153,0,0
170318424,17,031,8424,3304,0,0
170318425,17,031,8425,2451,0,0
170318426,17,031,8426,4133,0,0
170318428,17,031,8428,7498,0,0
170318429,17,031,8429,2341,0,0
170318430,17,031,8430,2378,0,0
170318431,17,031,8431,1892,0,0
170318432,17,031,8432,2780,0,0
170318433,17,031,8433,1228,0,0
170318434,17,031,8434,1451,0,0
170318435,17,031,8435,11309,0,0
170318436,17,031,8436,2807,0,0
170318437,17,031,8437,2117,0,0
170318438,17,031,8438,2110,0,0
170318439,17,031,8439,3533,0,0
170319800,17,031,9800,0,0,0
170319801,17,031,9801,0,0,0
170438400,17,043,8400,0,0,0
170438408,17,043,8408,0,0,0
